,open,high,low,close,volume,Open,High,Low,Close,Volume
2024-01-01 00:00:00,1.5629,1.5832,1.5629,1.571275,112512.2,,,,,
2024-01-01 00:00:00,,,,,,1.5629,1.5832,1.5629,1.571275,112512.2
2024-01-01 01:00:00,,,,,,1.5695,1.5914,1.5706,1.5815,154476.3
2024-01-01 01:00:00,1.5695,1.5914,1.5706,1.5815,154476.3,,,,,
2024-01-01 02:00:00,1.582,1.6051,1.5794,1.588025,189391.5,,,,,
2024-01-01 02:00:00,,,,,,1.582,1.6051,1.5794,1.588025,189391.5
2024-01-01 03:00:00,1.5838,1.5808,1.5329,1.556375,28080.8,,,,,
2024-01-01 03:00:00,,,,,,1.5838,1.5808,1.5329,1.556375,28080.8
2024-01-01 04:00:00,1.5559,1.5402,1.514,1.532025,101729.3,,,,,
2024-01-01 04:00:00,,,,,,1.5559,1.5402,1.514,1.532025,101729.3
2024-01-01 05:00:00,1.53695,1.5421,1.5327,1.539,124275.4,,,,,
2024-01-01 05:00:00,,,,,,1.53695,1.5421,1.5327,1.539,124275.4
2024-01-01 06:00:00,,,,,,1.5406,1.548,1.5378,1.54285,57466.1
2024-01-01 06:00:00,1.5406,1.548,1.5378,1.54285,57466.1,,,,,
2024-01-01 07:00:00,,,,,,1.5428,1.5529,1.5413,1.547375,46278.2
2024-01-01 07:00:00,1.5428,1.5529,1.5413,1.547375,46278.2,,,,,
2024-01-01 08:00:00,,,,,,1.54765,1.5514,1.5316,1.5444,162882.3
2024-01-01 08:00:00,1.54765,1.5514,1.5316,1.5444,162882.3,,,,,
2024-01-01 09:00:00,1.5473,1.5757,1.5472,1.561675,71368.8,,,,,
2024-01-01 09:00:00,,,,,,1.5473,1.5757,1.5472,1.561675,71368.8
2024-01-01 10:00:00,1.5619,1.5814,1.5663,1.5764749999999998,125291.2,,,,,
2024-01-01 10:00:00,,,,,,1.5619,1.5814,1.5663,1.5764749999999998,125291.2
2024-01-01 11:00:00,,,,,,1.5791,1.5861,1.569,1.578625,218439.4
2024-01-01 11:00:00,1.5791,1.5861,1.569,1.578625,218439.4,,,,,
2024-01-01 12:00:00,1.5797,1.5906,1.5687,1.578725,21586.7,,,,,
2024-01-01 12:00:00,,,,,,1.5797,1.5906,1.5687,1.578725,21586.7
2024-01-01 13:00:00,,,,,,1.5778,1.5896,1.5694,1.576725,32249.7
2024-01-01 13:00:00,1.5778,1.5896,1.5694,1.576725,32249.7,,,,,
2024-01-01 14:00:00,,,,,,1.57395,1.5669,1.554,1.560875,209055.5
2024-01-01 14:00:00,1.57395,1.5669,1.554,1.560875,209055.5,,,,,
2024-01-01 15:00:00,1.5613,1.5923,1.5496,1.57055,315327.3,,,,,
2024-01-01 15:00:00,,,,,,1.5613,1.5923,1.5496,1.57055,315327.3
2024-01-01 16:00:00,1.57015,1.6016,1.5804,1.588725,222770.4,,,,,
2024-01-01 16:00:00,,,,,,1.57015,1.6016,1.5804,1.588725,222770.4
2024-01-01 17:00:00,,,,,,1.58645,1.6141,1.5866,1.6012,727254.9
2024-01-01 17:00:00,1.58645,1.6141,1.5866,1.6012,727254.9,,,,,
2024-01-01 18:00:00,1.6020500000000002,1.7278,1.6101,1.66725,647539.3,,,,,
2024-01-01 18:00:00,,,,,,1.6020500000000002,1.7278,1.6101,1.66725,647539.3
2024-01-01 19:00:00,1.66555,1.7328,1.6874,1.71745,294923.3,,,,,
2024-01-01 19:00:00,,,,,,1.66555,1.7328,1.6874,1.71745,294923.3
2024-01-01 20:00:00,1.7248,1.727,1.69,1.7145,259175.9,,,,,
2024-01-01 20:00:00,,,,,,1.7248,1.727,1.69,1.7145,259175.9
2024-01-01 21:00:00,1.7205,1.7183,1.6944,1.70885,145402.9,,,,,
2024-01-01 21:00:00,,,,,,1.7205,1.7183,1.6944,1.70885,145402.9
2024-01-01 22:00:00,1.71135,1.7252,1.6959,1.7121499999999998,158647.4,,,,,
2024-01-01 22:00:00,,,,,,1.71135,1.7252,1.6959,1.7121499999999998,158647.4
2024-01-01 23:00:00,1.71375,1.7473,1.7232,1.7317000000000002,182724.6,,,,,
2024-01-01 23:00:00,,,,,,1.71375,1.7473,1.7232,1.7317000000000002,182724.6
2024-01-02 00:00:00,1.72815,1.77,1.7139,1.7449,222476.7,,,,,
2024-01-02 00:00:00,,,,,,1.72815,1.77,1.7139,1.7449,222476.7
2024-01-02 01:00:00,1.74785,1.7743,1.7328,1.753025,251104.9,,,,,
2024-01-02 01:00:00,,,,,,1.74785,1.7743,1.7328,1.753025,251104.9
2024-01-02 02:00:00,,,,,,1.7525,1.7526,1.7319,1.744075,380741.7
2024-01-02 02:00:00,1.7525,1.7526,1.7319,1.744075,380741.7,,,,,
2024-01-02 03:00:00,,,,,,1.7459,1.7518,1.727,1.7417,181779.6
2024-01-02 03:00:00,1.7459,1.7518,1.727,1.7417,181779.6,,,,,
2024-01-02 04:00:00,1.744,1.753,1.7285,1.74275,178689.6,,,,,
2024-01-02 04:00:00,,,,,,1.744,1.753,1.7285,1.74275,178689.6
2024-01-02 05:00:00,1.7447499999999998,1.76,1.7217,1.73875,277497.6,,,,,
2024-01-02 05:00:00,,,,,,1.7447499999999998,1.76,1.7217,1.73875,277497.6
2024-01-02 06:00:00,,,,,,1.73665,1.7243,1.7024,1.7139749999999998,178643.0
2024-01-02 06:00:00,1.73665,1.7243,1.7024,1.7139749999999998,178643.0,,,,,
2024-01-02 07:00:00,1.7146,1.734,1.707,1.719275,127427.3,,,,,
2024-01-02 07:00:00,,,,,,1.7146,1.734,1.707,1.719275,127427.3
2024-01-02 08:00:00,1.71805,1.8185,1.7231,1.7729750000000002,523695.7,,,,,
2024-01-02 08:00:00,,,,,,1.71805,1.8185,1.7231,1.7729750000000002,523695.7
2024-01-02 09:00:00,,,,,,1.77515,1.8421,1.7965,1.8159,614504.0
2024-01-02 09:00:00,1.77515,1.8421,1.7965,1.8159,614504.0,,,,,
2024-01-02 10:00:00,1.8125,1.8076,1.7679,1.78905,293655.6,,,,,
2024-01-02 10:00:00,,,,,,1.8125,1.8076,1.7679,1.78905,293655.6
2024-01-02 11:00:00,1.79035,1.7969,1.7607,1.7772,393369.1,,,,,
2024-01-02 11:00:00,,,,,,1.79035,1.7969,1.7607,1.7772,393369.1
2024-01-02 12:00:00,1.7755999999999998,1.8056,1.7664,1.7795999999999998,326611.1,,,,,
2024-01-02 12:00:00,,,,,,1.7755999999999998,1.8056,1.7664,1.7795999999999998,326611.1
2024-01-02 13:00:00,,,,,,1.7732,1.7849,1.7671,1.773875,456364.9
2024-01-02 13:00:00,1.7732,1.7849,1.7671,1.773875,456364.9,,,,,
2024-01-02 14:00:00,,,,,,1.77175,1.7941,1.7108,1.7521,1003431.0
2024-01-02 14:00:00,1.77175,1.7941,1.7108,1.7521,1003431.0,,,,,
2024-01-02 15:00:00,1.75175,1.7351,1.7072,1.721225,349280.8,,,,,
2024-01-02 15:00:00,,,,,,1.75175,1.7351,1.7072,1.721225,349280.8
2024-01-02 16:00:00,1.7212999999999998,1.7519,1.7075,1.731375,679057.5,,,,,
2024-01-02 16:00:00,,,,,,1.7212999999999998,1.7519,1.7075,1.731375,679057.5
2024-01-02 17:00:00,1.73305,1.7487,1.7205,1.7366,134412.5,,,,,
2024-01-02 17:00:00,,,,,,1.73305,1.7487,1.7205,1.7366,134412.5
2024-01-02 18:00:00,1.7386,1.7477,1.7238,1.734875,100477.3,,,,,
2024-01-02 18:00:00,,,,,,1.7386,1.7477,1.7238,1.734875,100477.3
2024-01-02 19:00:00,1.734,1.7685,1.7263,1.7443499999999998,394722.4,,,,,
2024-01-02 19:00:00,,,,,,1.734,1.7685,1.7263,1.7443499999999998,394722.4
2024-01-02 20:00:00,,,,,,1.7412999999999998,1.7782,1.7172,1.7398,449174.7
2024-01-02 20:00:00,1.7412999999999998,1.7782,1.7172,1.7398,449174.7,,,,,
2024-01-02 21:00:00,1.7319,1.7624,1.7076,1.738025,216997.3,,,,,
2024-01-02 21:00:00,,,,,,1.7319,1.7624,1.7076,1.738025,216997.3
2024-01-02 22:00:00,,,,,,1.74105,1.7922,1.758,1.77265,274096.7
2024-01-02 22:00:00,1.74105,1.7922,1.758,1.77265,274096.7,,,,,
2024-01-02 23:00:00,1.7702,1.7834,1.756,1.77185,150191.4,,,,,
2024-01-02 23:00:00,,,,,,1.7702,1.7834,1.756,1.77185,150191.4
2024-01-03 00:00:00,1.774,1.817,1.7494,1.782725,293411.0,,,,,
2024-01-03 00:00:00,,,,,,1.774,1.817,1.7494,1.782725,293411.0
2024-01-03 01:00:00,1.78225,1.9214,1.7914,1.854725,946981.0,,,,,
2024-01-03 01:00:00,,,,,,1.78225,1.9214,1.7914,1.854725,946981.0
2024-01-03 02:00:00,,,,,,1.85305,1.9496,1.8826,1.91085,697613.0
2024-01-03 02:00:00,1.85305,1.9496,1.8826,1.91085,697613.0,,,,,
2024-01-03 03:00:00,,,,,,1.9056,1.9102,1.8756,1.89115,505347.0
2024-01-03 03:00:00,1.9056,1.9102,1.8756,1.89115,505347.0,,,,,
2024-01-03 04:00:00,1.8894,1.9032,1.8728,1.887625,306575.8,,,,,
2024-01-03 04:00:00,,,,,,1.8894,1.9032,1.8728,1.887625,306575.8
2024-01-03 05:00:00,1.88725,1.9388,1.8771,1.9093,339179.0,,,,,
2024-01-03 05:00:00,,,,,,1.88725,1.9388,1.8771,1.9093,339179.0
2024-01-03 06:00:00,,,,,,1.91065,1.98,1.9118,1.934975,404748.1
2024-01-03 06:00:00,1.91065,1.98,1.9118,1.934975,404748.1,,,,,
2024-01-03 07:00:00,1.92405,1.9408,1.8963,1.917925,166722.0,,,,,
2024-01-03 07:00:00,,,,,,1.92405,1.9408,1.8963,1.917925,166722.0
2024-01-03 08:00:00,1.9173,1.9313,1.9056,1.91805,110864.7,,,,,
2024-01-03 08:00:00,,,,,,1.9173,1.9313,1.9056,1.91805,110864.7
2024-01-03 09:00:00,1.91765,1.9964,1.9159,1.950625,469557.4,,,,,
2024-01-03 09:00:00,,,,,,1.91765,1.9964,1.9159,1.950625,469557.4
2024-01-03 10:00:00,1.9451,2.0122,1.9373,1.964925,644841.4,,,,,
2024-01-03 10:00:00,,,,,,1.9451,2.0122,1.9373,1.964925,644841.4
2024-01-03 11:00:00,,,,,,1.9551,1.9446,1.823,1.8941,888206.3
2024-01-03 11:00:00,1.9551,1.9446,1.823,1.8941,888206.3,,,,,
2024-01-03 12:00:00,1.9044,1.9683,1.45,1.802325,3084639.7,,,,,
2024-01-03 12:00:00,,,,,,1.9044,1.9683,1.45,1.802325,3084639.7
2024-01-03 13:00:00,,,,,,1.8955,1.9211,1.767,1.856325,646903.0
2024-01-03 13:00:00,1.8955,1.9211,1.767,1.856325,646903.0,,,,,
2024-01-03 14:00:00,,,,,,1.8686,1.8344,1.7354,1.7964,389519.0
2024-01-03 14:00:00,1.8686,1.8344,1.7354,1.7964,389519.0,,,,,
2024-01-03 15:00:00,1.8079,1.8875,1.8031,1.844325,718960.9,,,,,
2024-01-03 15:00:00,,,,,,1.8079,1.8875,1.8031,1.844325,718960.9
2024-01-03 16:00:00,,,,,,1.84335,2.0916,1.8682,1.973775,759352.6
2024-01-03 16:00:00,1.84335,2.0916,1.8682,1.973775,759352.6,,,,,
2024-01-03 17:00:00,1.96765,2.08,1.9849,2.03275,868585.2,,,,,
2024-01-03 17:00:00,,,,,,1.96765,2.08,1.9849,2.03275,868585.2
2024-01-03 18:00:00,2.03305,2.0824,1.9246,1.9906,849674.6,,,,,
2024-01-03 18:00:00,,,,,,2.03305,2.0824,1.9246,1.9906,849674.6
2024-01-03 19:00:00,1.9777,2.0143,1.9414,1.96745,503987.6,,,,,
2024-01-03 19:00:00,,,,,,1.9777,2.0143,1.9414,1.96745,503987.6
2024-01-03 20:00:00,,,,,,1.95705,1.9806,1.9475,1.9646,321911.3
2024-01-03 20:00:00,1.95705,1.9806,1.9475,1.9646,321911.3,,,,,
2024-01-03 21:00:00,1.96515,1.9928,1.9377,1.966975,373939.9,,,,,
2024-01-03 21:00:00,,,,,,1.96515,1.9928,1.9377,1.966975,373939.9
2024-01-03 22:00:00,1.9687,1.9773,1.9076,1.9431,562346.1,,,,,
2024-01-03 22:00:00,,,,,,1.9687,1.9773,1.9076,1.9431,562346.1
2024-01-03 23:00:00,1.94375,1.9179,1.8823,1.9074,410834.0,,,,,
2024-01-03 23:00:00,,,,,,1.94375,1.9179,1.8823,1.9074,410834.0
2024-01-04 00:00:00,1.9147,1.9654,1.9047,1.933625,409982.3,,,,,
2024-01-04 00:00:00,,,,,,1.9147,1.9654,1.9047,1.933625,409982.3
2024-01-04 01:00:00,1.9322,1.9546,1.8483,1.898925,528741.2,,,,,
2024-01-04 01:00:00,,,,,,1.9322,1.9546,1.8483,1.898925,528741.2
2024-01-04 02:00:00,,,,,,1.8964,1.9204,1.852,1.885775,461206.8
2024-01-04 02:00:00,1.8964,1.9204,1.852,1.885775,461206.8,,,,,
2024-01-04 03:00:00,,,,,,1.88535,1.945,1.9148,1.9294,276220.8
2024-01-04 03:00:00,1.88535,1.945,1.9148,1.9294,276220.8,,,,,
2024-01-04 04:00:00,1.9289,1.992,1.9264,1.962125,374136.2,,,,,
2024-01-04 04:00:00,,,,,,1.9289,1.992,1.9264,1.962125,374136.2
2024-01-04 05:00:00,,,,,,1.96505,1.9878,1.9484,1.968325,162334.4
2024-01-04 05:00:00,1.96505,1.9878,1.9484,1.968325,162334.4,,,,,
2024-01-04 06:00:00,,,,,,1.96855,1.9837,1.9451,1.9586,84383.8
2024-01-04 06:00:00,1.96855,1.9837,1.9451,1.9586,84383.8,,,,,
2024-01-04 07:00:00,,,,,,1.9528,1.9709,1.9157,1.941225,370397.9
2024-01-04 07:00:00,1.9528,1.9709,1.9157,1.941225,370397.9,,,,,
2024-01-04 08:00:00,,,,,,1.93915,1.928,1.8793,1.90925,389348.5
2024-01-04 08:00:00,1.93915,1.928,1.8793,1.90925,389348.5,,,,,
2024-01-04 09:00:00,1.91485,1.9179,1.8829,1.89925,227132.0,,,,,
2024-01-04 09:00:00,,,,,,1.91485,1.9179,1.8829,1.89925,227132.0
2024-01-04 10:00:00,1.8981,1.8853,1.8135,1.853725,393621.3,,,,,
2024-01-04 10:00:00,,,,,,1.8981,1.8853,1.8135,1.853725,393621.3
2024-01-04 11:00:00,1.85805,1.8584,1.8196,1.83455,129161.3,,,,,
2024-01-04 11:00:00,,,,,,1.85805,1.8584,1.8196,1.83455,129161.3
2024-01-04 12:00:00,,,,,,1.8301,1.8948,1.8293,1.858625,483295.0
2024-01-04 12:00:00,1.8301,1.8948,1.8293,1.858625,483295.0,,,,,
2024-01-04 13:00:00,,,,,,1.8552,1.9162,1.8775,1.8956,315843.7
2024-01-04 13:00:00,1.8552,1.9162,1.8775,1.8956,315843.7,,,,,
2024-01-04 14:00:00,1.89435,2.0418,1.8717,1.96585,336645.9,,,,,
2024-01-04 14:00:00,,,,,,1.89435,2.0418,1.8717,1.96585,336645.9
2024-01-04 15:00:00,1.97495,2.0744,1.9882,2.040175,672486.2,,,,,
2024-01-04 15:00:00,,,,,,1.97495,2.0744,1.9882,2.040175,672486.2
2024-01-04 16:00:00,2.0490500000000003,2.0579,1.9942,2.032925,616656.6,,,,,
2024-01-04 16:00:00,,,,,,2.0490500000000003,2.0579,1.9942,2.032925,616656.6
2024-01-04 17:00:00,2.0398,2.1465,2.01,2.05375,557041.9,,,,,
2024-01-04 17:00:00,,,,,,2.0398,2.1465,2.01,2.05375,557041.9
2024-01-04 18:00:00,2.02925,2.1078,2.0305,2.066825,366487.6,,,,,
2024-01-04 18:00:00,,,,,,2.02925,2.1078,2.0305,2.066825,366487.6
2024-01-04 19:00:00,2.0645,2.1195,2.063,2.0871250000000003,314097.7,,,,,
2024-01-04 19:00:00,,,,,,2.0645,2.1195,2.063,2.0871250000000003,314097.7
2024-01-04 20:00:00,2.083,2.0972,2.0533,2.070825,212603.6,,,,,
2024-01-04 20:00:00,,,,,,2.083,2.0972,2.0533,2.070825,212603.6
2024-01-04 21:00:00,,,,,,2.0664,2.0835,2.0278,2.050775,354847.3
2024-01-04 21:00:00,2.0664,2.0835,2.0278,2.050775,354847.3,,,,,
2024-01-04 22:00:00,,,,,,2.0459,2.0531,2.0089,2.0292,436059.4
2024-01-04 22:00:00,2.0459,2.0531,2.0089,2.0292,436059.4,,,,,
2024-01-04 23:00:00,2.0274,2.0246,2.0015,2.0116750000000003,85303.8,,,,,
2024-01-04 23:00:00,,,,,,2.0274,2.0246,2.0015,2.0116750000000003,85303.8
2024-01-05 00:00:00,,,,,,2.0103,2.0165,1.9702,1.994225,244268.7
2024-01-05 00:00:00,2.0103,2.0165,1.9702,1.994225,244268.7,,,,,
2024-01-05 01:00:00,1.9951,1.9905,1.8602,1.94295,412645.3,,,,,
2024-01-05 01:00:00,,,,,,1.9951,1.9905,1.8602,1.94295,412645.3
2024-01-05 02:00:00,1.96055,1.9553,1.9125,1.93275,340108.2,,,,,
2024-01-05 02:00:00,,,,,,1.96055,1.9553,1.9125,1.93275,340108.2
2024-01-05 03:00:00,,,,,,1.9316,1.9523,1.913,1.92885,256704.4
2024-01-05 03:00:00,1.9316,1.9523,1.913,1.92885,256704.4,,,,,
2024-01-05 04:00:00,1.92505,1.93,1.8875,1.908375,397395.1,,,,,
2024-01-05 04:00:00,,,,,,1.92505,1.93,1.8875,1.908375,397395.1
2024-01-05 05:00:00,1.908,1.9385,1.891,1.914375,156632.8,,,,,
2024-01-05 05:00:00,,,,,,1.908,1.9385,1.891,1.914375,156632.8
2024-01-05 06:00:00,1.914,1.9651,1.9246,1.945775,205844.2,,,,,
2024-01-05 06:00:00,,,,,,1.914,1.9651,1.9246,1.945775,205844.2
2024-01-05 07:00:00,1.9467,1.9686,1.9371,1.95315,264428.5,,,,,
2024-01-05 07:00:00,,,,,,1.9467,1.9686,1.9371,1.95315,264428.5
2024-01-05 08:00:00,,,,,,1.95345,1.957,1.9164,1.9361,275345.4
2024-01-05 08:00:00,1.95345,1.957,1.9164,1.9361,275345.4,,,,,
2024-01-05 09:00:00,,,,,,1.9355,2.0141,1.9297,1.97125,301780.8
2024-01-05 09:00:00,1.9355,2.0141,1.9297,1.97125,301780.8,,,,,
2024-01-05 10:00:00,,,,,,1.9706,2.0074,1.9074,1.96235,294006.6
2024-01-05 10:00:00,1.9706,2.0074,1.9074,1.96235,294006.6,,,,,
2024-01-05 11:00:00,,,,,,1.9673,1.9517,1.9112,1.92885,278721.3
2024-01-05 11:00:00,1.9673,1.9517,1.9112,1.92885,278721.3,,,,,
2024-01-05 12:00:00,,,,,,1.92625,1.9494,1.9,1.928025,134891.6
2024-01-05 12:00:00,1.92625,1.9494,1.9,1.928025,134891.6,,,,,
2024-01-05 13:00:00,1.93135,1.9504,1.9142,1.935775,207894.0,,,,,
2024-01-05 13:00:00,,,,,,1.93135,1.9504,1.9142,1.935775,207894.0
2024-01-05 14:00:00,,,,,,1.93925,1.946,1.8534,1.901975,610041.9
2024-01-05 14:00:00,1.93925,1.946,1.8534,1.901975,610041.9,,,,,
2024-01-05 15:00:00,,,,,,1.90425,1.9024,1.8588,1.875625,185968.5
2024-01-05 15:00:00,1.90425,1.9024,1.8588,1.875625,185968.5,,,,,
2024-01-05 16:00:00,,,,,,1.87065,1.903,1.8293,1.8594,439080.9
2024-01-05 16:00:00,1.87065,1.903,1.8293,1.8594,439080.9,,,,,
2024-01-05 17:00:00,1.85265,1.8762,1.8224,1.853275,320402.5,,,,,
2024-01-05 17:00:00,,,,,,1.85265,1.8762,1.8224,1.853275,320402.5
2024-01-05 18:00:00,1.85725,1.9014,1.8716,1.8855,205756.6,,,,,
2024-01-05 18:00:00,,,,,,1.85725,1.9014,1.8716,1.8855,205756.6
2024-01-05 19:00:00,,,,,,1.8845,1.9111,1.8861,1.89595,150738.8
2024-01-05 19:00:00,1.8845,1.9111,1.8861,1.89595,150738.8,,,,,
2024-01-05 20:00:00,,,,,,1.8933,1.92,1.895,1.906325,156326.2
2024-01-05 20:00:00,1.8933,1.92,1.895,1.906325,156326.2,,,,,
